x,beta,rho1,rho2,phi
0,0.9682561644523621938013763,35.0,35.0,1.451476509768390693325856e-15
1,0.9682561644523621938013763,35.02380143083652572287236,35.02380143083652572287236,4.947367559921156474883792e-15
2,0.9682561644523621938013763,35.09510887099036577192369,35.09510887099036577192369,1.608324198537772375453188e-14
3,0.9682561644523621938013763,35.21363372331801827262153,35.21363372331801827262153,4.988118530123940917263715e-14
4,0.9682561644523621938013763,35.37890143385838180876641,35.37890143385838180876641,1.476640993899021469490206e-13
5,0.9682561644523621938013763,35.59026084010437065071412,35.59026084010437065071412,4.175205049901255916757436e-13
6,0.9682561644523621938013763,35.84689665786984125317575,35.84689665786984125317575,1.128516789794327719372282e-12
7,0.9682561644523621938013763,36.14784456460255749467605,36.14784456460255749467605,2.918731797090760115723174e-12
8,0.9682561644523621938013763,36.49200825751669503741635,36.49200825751669503741635,7.231414252190505263489837e-12
9,0.9682561644523621938013763,36.87817782917154907744129,36.87817782917154907744129,1.718431162978530824865017e-11
10,0.9682561644523621938013763,37.3050488093323187366612,37.3050488093323187366612,3.921925048803312536735482e-11
11,0.9682561644523621938013763,37.77124126457411842459193,37.77124126457411842459193,8.608667743849342881491893e-11
12,0.9682561644523621938013763,38.2753184180092743312017,38.2753184180092743312017,1.820027130680842565930247e-10
13,0.9682561644523621938013763,38.81580434135903155739931,38.81580434135903155739931,3.711738441593209621136791e-10
14,0.9682561644523621938013763,39.39120037097964139232803,39.39120037097964139232803,7.313007693979407044970804e-10
15,0.9682561644523621938013763,39.99999999999999958366637,39.99999999999999958366637,1.394113247227476340003548e-9
16,0.9682561644523621938013763,40.6407020936728728258243,40.6407020936728728258243,2.575398221725098430305679e-9
17,0.9682561644523621938013763,41.31182235954577959080218,41.31182235954577959080218,4.617295763838861286529488e-9
18,0.9682561644523621938013763,42.01190307520000874970272,42.01190307520000874970272,8.045777846105795939089567e-9
19,0.9682561644523621938013763,42.73952113286561629428018,42.73952113286561629428018,1.364612682135235425999623e-8
20,0.9682561644523621938013763,43.49329450233296143442674,43.49329450233296143442674,2.255884636963158909928331e-8
21,0.9682561644523621938013763,44.27188724235730991070948,44.27188724235730991070948,3.639775037421034018035e-8
22,0.9682561644523621938013763,45.07401320790801954769958,45.07401320790801954769958,5.739100355230083660186992e-8
23,0.9682561644523621938013763,45.89843860815601413827197,45.89843860815601413827197,8.854468678223470647829328e-8
24,0.9682561644523621938013763,46.74398357008097266489418,46.74398357008097266489418,0.0000001338271154495211118000823
25,0.9682561644523621938013763,47.60952285695233234835651,47.60952285695233234835651,0.0000001983707562718612309520968
26,0.9682561644523621938013763,48.49398588141282665994549,48.49398588141282665994549,0.000000288687279369832664143295
27,0.9682561644523621938013763,49.39635614091387502581771,49.39635614091387502581771,0.000000412890153827900065235035
28,0.9682561644523621938013763,50.31567018997825642110713,50.31567018997825642110713,0.0000005809183347209947269399252
29,0.9682561644523621938013763,51.25101625008685173802432,51.25101625008685173802432,0.0000008047540595116870395644755
30,0.9682561644523621938013763,52.20153254455274962270782,52.20153254455274962270782,0.00000109862760345194092878345
31,0.9682561644523621938013763,53.16640543300502767599893,53.16640543300502767599893,0.000001479202038159469202103841
32,0.9682561644523621938013763,54.14486740833951395931084,54.14486740833951395931084,0.000001965731568402969827138884
33,0.9682561644523621938013763,55.13619500836088560994926,55.13619500836088560994926,0.000002580187840854163461497524
34,0.9682561644523621938013763,56.13970668490054104002201,56.13970668490054104002201,0.000003347349661497589204894988
35,0.9682561644523621938013763,57.15476066494082070490668,57.15476066494082070490668,0.000004294852753814261130788243
36,0.9682561644523621938013763,58.18075283115542333772279,58.18075283115542333772279,0.000005453197464592591578562719
37,0.9682561644523621938013763,59.21711464320654034490184,59.21711464320654034490184,0.000006855713609160826568033195
38,0.9682561644523621938013763,60.26331111602370669154095,60.26331111602370669154095,0.000008538482882100877972134676
39,0.9682561644523621938013763,61.31883886702356479029257,61.31883886702356479029257,0.00001054022039314715400514243
40,0.9682561644523621938013763,62.38322424070966877151094,62.38322424070966877151094,0.00001290211788331655216067833
41,0.9682561644523621938013763,63.45602151621756390420466,63.45602151621756390420466,0.00001566765200811613267345972
42,0.9682561644523621938013763,64.53681120105020914694993,64.53681120105020914694993,0.00001888236172939586419525946
43,0.9682561644523621938013763,65.62519841239846790928682,65.62519841239846790928682,0.00002259359933185579186929682
44,0.9682561644523621938013763,66.72081134598609165867844,66.72081134598609165867844,0.00002685025987977668168302694
45,0.9682561644523621938013763,67.82329983125267918078393,67.82329983125267918078393,0.00003170249406631431080174396
46,0.9682561644523621938013763,68.93233397083451687988048,68.93233397083451687988048,0.00003720140939858619612181188
47,0.9682561644523621938013763,70.04760286167304911586078,70.04760286167304911586078,0.00004339876452675787215082267
48,0.9682561644523621938013763,71.1688133946323405956258,71.1688133946323405956258,0.00005034666128591336652619801
49,0.9682561644523621938013763,72.29568912920511273191758,72.29568912920511273191758,0.00005809723869744857040575773
50,0.9682561644523621938013763,73.42796923970229408861312,73.42796923970229408861312,0.00006670237279310339698225125
51,0.9682561644523621938013763,74.56540752922899176887299,74.56540752922899176887299,0.0000762133856991278922709121
52,0.9682561644523621938013763,75.70777150773007838656633,75.70777150773007838656633,0.00008668076696806957460181329
53,0.9682561644523621938013763,76.85484153042452439333627,76.85484153042452439333627,0.00009815390968662841813829957
54,0.9682561644523621938013763,78.00640999302557038771971,78.00640999302557038771971,0.0001106808634328901860531095
55,0.9682561644523621938013763,79.16228058025277873618235,79.16228058025277873618235,0.000124308105715644587192843
